0	0	-677
1	1	-677
2	2	-589
3	3	-538
4	4	-501
5	5	-470
6	6	-444
7	7	-422
8	8	-401
9	9	-383
10	10	-366
11	11	-351
12	12	-335
13	13	-322
14	14	-309
15	15	-296
16	16	-284
17	17	-273
18	18	-262
19	19	-251
20	20	-240
21	21	-230
22	22	-220
23	23	-211
24	24	-202
25	25	-193
26	26	-184
27	27	-175
28	28	-166
29	29	-158
30	30	-149
31	31	-141
32	32	-133
33	33	-125
34	34	-117
35	35	-110
36	36	-102
37	37	-95
38	38	-87
39	39	-80
40	40	-72
41	41	-65
42	42	-57
43	43	-50
44	44	-43
45	45	-36
46	46	-29
47	47	-21
48	48	-14
49	49	-7
50	50	0
51	51	7
52	52	14
53	53	21
54	54	29
55	55	36
56	56	43
57	57	50
58	58	57
59	59	65
60	60	72
61	61	80
62	62	87
63	63	95
64	64	102
65	65	110
66	66	117
67	67	125
68	68	133
69	69	141
70	70	149
71	71	158
72	72	166
73	73	175
74	74	184
75	75	193
76	76	202
77	77	211
78	78	220
79	79	230
80	80	240
81	81	251
82	82	262
83	83	273
84	84	284
85	85	296
86	86	309
87	87	322
88	88	335
89	89	351
90	90	366
91	91	383
92	92	401
93	93	422
94	94	444
95	95	470
96	96	501
97	97	538
98	98	589
99	99	677
100	100	677
200	30	15
201	20	20
202	10	30
