//Countries
0;Algeria;ALG
0;ANGOLA;ANG
0;BENIN;BEN
0;BOTSWANA;BOT
0;BURKINA FASO;BUR
0;BURUNDI;BDI
0;CAMEROUN;CMR
0;CENTRAL AFRICAN REPUBLIC;CAF
0;CHAD;CHA
0;CONGO, BRAZAVILLE;CGO
0;COTE D’IVOIRE;CIV
0;DEMOCRATIC REPUBLIC OF CONGO;COD
0;DJIBOUTI;DJI
0;EGYPT;EGY
0;EQUATORIAL GUINEA;GEQ
0;ERITREA;ERI
0;ESWATINI;SWZ
0;GABON;GAB
0;GAMBIA;GAM
0;GHANA;GHA
0;GUINNEA REPUBLIC;GUI
0;LESOTHO;LES
0;LIBERIA;LBR
0;LYBIA;LBA
0;MADAGASCAR;MAD
0;MALAWI;MAW
0;MAURITANIA;MTN
0;MAURITIUS;MRI
0;Morocco;MAR
0;MOZAMBIQUE;MOZ
0;NAMIBIA;NAM
0;NIGER;NIG
0;NIGERIA;NGR
0;RWANDA;RWA
0;SÃO TOMÉ AND PRÍNCIPE;STP
0;SEIRRA LEONE;SLE
0;SENEGAL;SEN
0;SEYCHELLES;SEY
0;SOMALIA;SOM
0;SOUTH AFRICA;RSA
0;Sudan;SUD
0;TANZANIA;TAN
0;TOGO;TOG
0;Tunisia;TUN
0;UGANDA;UGA
0;ZAMBIA;ZAM
0;ZIMBABWE;ZIM
